File Name,Variable number,Variable Name,Variable Label,Variable Ontology or RDF type ID,ID source,Variable Data Type,Variable Type,Field size,Max allowed value,Min allowed value,Allowed Values,Allowed Value Description,Required,Collection form name,Comments
2022-02-04_FAIR-Phytoliths-Data-Assessment-Final-full-raw-data .csv,1,Data-collectors-name,Name of data collector,N/A,N/A,string,nominal,N/A,N/A,N/A,"Carla Lancelotti, Celine Kerfant, Emma Karoune, Javier Ruiz-Pérez, Juan José García-Granero, Marco Madella ",Names of all of the data collectors from this project,Yes,Collection forms - Europe and South America,None
2022-02-04_FAIR-Phytoliths-Data-Assessment-Final-full-raw-data .csv,2,Journal-name,Name of the Journal the article is published in,Periodical,Periodical - Schema.org Type,string,nominal,N/A,N/A,N/A,A journal name,Any journal name that appeared in selected articles,Yes,Collection forms - Europe and South America,None
2022-02-04_FAIR-Phytoliths-Data-Assessment-Final-full-raw-data .csv,3,Full-Reference-APA,Full reference for the article in APA style,citation,citation - Schema.org Property,string,nominal,N/A,N/A,N/A,APA journal citation,Full citation reference in APA format,Yes,Collection forms - Europe and South America,None
2022-02-04_FAIR-Phytoliths-Data-Assessment-Final-full-raw-data .csv,4,Year ,Year the article is first published online - not a full date,N/A,N/A,integer,discrete,4 digits,2020,2016,"2016, 2017, 2018, 2019, 2020",Five year range used for selecting articles in this study,Yes,Collection forms - Europe and South America,None
2022-02-04_FAIR-Phytoliths-Data-Assessment-Final-full-raw-data .csv,5,Period/Date,Archaeological or palaoecological studies named period or date that appears in the article or modern for studies that only use modern plant material,N/A,N/A,string,nominal,N/A,N/A,N/A,"A specific period or date, or modern",Open text box for period or date found in the text of the article. If a study conducted on modern plants then response should be modern,Yes,Collection forms - Europe and South America,Information given in text - often found in abstract.
2022-02-04_FAIR-Phytoliths-Data-Assessment-Final-full-raw-data .csv,6,Type-of-study,Main study focus of the article,N/A,N/A,string,nominal,N/A,N/A,N/A,"Archaeological
Geochemical
Ecology
Methodological - modern reference
Methodological - morphometric
Methodological - ethnographic
Methodological - extraction method
Methodological - isotopes
Methodological - taphonomy
Methodological - radiocarbon
Palaeoecology
Palaeontology
Plant Physiology
",Categories of types of studies that use phytolith analysis,Yes,Collection forms - Europe and South America,"If there were two different types of study possible, we selected the main focus of the paper. "
2022-02-04_FAIR-Phytoliths-Data-Assessment-Final-full-raw-data .csv,7,Geographic-location,Geographic location of study,"Country name or names, or name of region",GeoNames,string,nominal,N/A,N/A,N/A,A country/countries or region name,Country or region that was within the text of the article - standardised using geonames,Yes,Collection forms - Europe and South America,
2022-02-04_FAIR-Phytoliths-Data-Assessment-Final-full-raw-data .csv,8,oa_status,Open access status of the article,Unpaywall,Unpaywall - https://support.unpaywall.org/support/solutions/articles/44001777288-what-do-the-types-of-oa-status-green-gold-hybrid-and-bronze-mean-,string,nominal,N/A,N/A,N/A,"Green
Gold
Hybrid
Bronze
Diamond
Closed
",unpaywall categories used but with addition of diamond,Yes,Collection forms - Europe and South America,Data collected using roadoi R package to search all DOI’s at the end of data collection for first 100 articles. Some articles came back with no answer and these were found by manual search to be diamond. so this was added to the allowed value list.
2022-02-04_FAIR-Phytoliths-Data-Assessment-Final-full-raw-data .csv,9,Journal-type,Type of journal,N/A,N/A,string,ordinal,N/A,N/A,N/A,"Open
Hybrid
Closed
",,Yes,Collection forms - Europe and South America,
2022-02-04_FAIR-Phytoliths-Data-Assessment-Final-full-raw-data .csv,10,What-article-repository,Repository used for green open access articles,N/A,N/A,string,nominal,N/A,N/A,N/A,"Arxiv
Bioarxiv
EarthArXiv
EcoEvoRxiv
F1000 research
Figshare
OSF Preprints
Palaeorxiv
PeerJ Preprints
Preprints.org
University or Institution repository
WikiJournal Preprints
Zenodo
None-gold 
None-diamond
None-not-oa
","None-gold = gold open access and also includes a few bronze oa articles, None-not-oa = not open access",Yes,Collection forms - Europe and South America,Data was gathered using the roadoi R package - We would accept any green open access repository in the allowed list - these are the most likely repositories used for phytolith preprints/articles
