Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"D Mourelle, L del Puerto, L Perez, L Bergamino…","Late Pleistocene and Late Holocene environment and climate in the campos region of southeastern South America inferred from phytolith, diatom and geochemical …",2020,Palaeogeography …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0031018219308004,https://scholar.google.com/scholar?cites=11662209372744664063&as_sdt=2005&sciodt=2007&hl=en,2,9/15/21 12:16,,10.1016/j.palaeo.2020.109586,,,,,,,1,1,0,5,1,"A paleolimnological study was undertaken for a sediment core from Laguna Formosa, a subtropical lake in the northern campos inland region of Uruguay. The record encompasses a Late Pleistocene and Late Holocene interval, interrupted by a hiatus. We analyzed (1) opal …",,https://scholar.google.com/scholar?q=related:_0OtrqJ92KEJ:scholar.google.com/&scioq=phytoliths+south+america&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
2,"AF Zucol, NI Patterer, E Moya, MGF Pepi",Phytolith analysis of the main species of Distichlis sp.(Chloridoideae: Poaceae) distributed in South America,2019,Review of Palaeobotany and …,Elsevier,https://www.sciencedirect.com/science/article/pii/S003466671830232X,https://scholar.google.com/scholar?cites=5597367242023440898&as_sdt=2005&sciodt=2007&hl=en,3,9/15/21 12:16,,10.1016/j.revpalbo.2019.06.004,,,,,,,2,1,1,4,2,The Saltgrasses are pioneer plants in the early stages of succession in saline soils and constitute particular zonal communities of low species variability. Phytolith assemblage analysis of these species allows a community type to be characterized that consists mainly …,,https://scholar.google.com/scholar?q=related:AhI3utnXrU0J:scholar.google.com/&scioq=phytoliths+south+america&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
13,"M del Pilar Babot, MG Musaubach, A Plos",An archaeobotanical perspective in the study of inflorescence phytoliths of wild grasses from arid and semi-arid environments of Argentina,2017,Quaternary International,Elsevier,https://www.sciencedirect.com/science/article/pii/S1040618216001713,https://scholar.google.com/scholar?cites=7543515037191354706&as_sdt=2005&sciodt=2007&hl=en,6,9/15/21 12:16,,10.1016/j.quaint.2016.02.045,,,,,,,13,"3,25",4,3,4,"… all over the world by hunter-gatherer with evidences as much in South America as in … The goal of this paper is to document phytoliths in inflorescence axis, and in kernels … We could observe typical phytolith morphotypes from specific anatomical parts of grasses, but non-taxon …",https://www.researchgate.net/profile/Pilar-Babot/publication/301702603_An_archaeobotanical_perspective_in_the_study_of_inflorescence_phytoliths_of_wild_grasses_from_arid_and_semi-arid_environments_of_Argentina/links/5ca66b2292851c64bd50ad74/An-archaeobotanical-perspective-in-the-study-of-inflorescence-phytoliths-of-wild-grasses-from-arid-and-semi-arid-environments-of-Argentina.pdf,https://scholar.google.com/scholar?q=related:UrmbhfXyr2gJ:scholar.google.com/&scioq=phytoliths+south+america&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
43,"G Morcote-Ríos, R Bernal, L Raz","Phytoliths as a tool for archaeobotanical, palaeobotanical and palaeoecological studies in Amazonian palms",2016,Botanical journal of the …,academic.oup.com,https://academic.oup.com/botlinnean/article-abstract/182/2/348/2707823,https://scholar.google.com/scholar?cites=4688070070342238539&as_sdt=2005&sciodt=2007&hl=en,9,9/15/21 12:16,,10.1111/boj.12438,,,,,,,43,"8,6",14,3,5,"… variables to describe globular echinate phytoliths in ten mostly subtropical South American palm species … on an almost identical taxonomic sample and demonstrated that phytolith diameter was … Bowdery (2015) also tried to differentiate globular echinate phytoliths and, using a …",,https://scholar.google.com/scholar?q=related:S8Hj-ONeD0EJ:scholar.google.com/&scioq=phytoliths+south+america&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
14,"SN Huisman, MF Raczka…",Palm phytoliths of mid-elevation Andean forests,2018,… in Ecology and …,internal-journal.frontiersin.org,https://internal-journal.frontiersin.org/articles/10.3389/fevo.2018.00193/full,https://scholar.google.com/scholar?cites=15931038082180630561&as_sdt=2005&sciodt=2007&hl=en,12,9/15/21 12:16,HTML,10.3389/fevo.2018.00193,,,,,,,14,"4,67",5,3,3,"… categorization. Though we have classified new subtypes of phytoliths, the examination of the herbarium material suggested that phytolith morphologies occur as a gradient as opposed to clearly defined differences in types. For …",https://internal-journal.frontiersin.org/articles/10.3389/fevo.2018.00193/full,https://scholar.google.com/scholar?q=related:IciYv7pqFt0J:scholar.google.com/&scioq=phytoliths+south+america&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
9,"AF Zucol, JM Krause, M Brea, MS Raigemborn…",Emergence of grassy habitats during the greenhouse–icehouse systems transition in the Middle Eocene of southern South America,2018,Ameghiniana,BioOne,https://bioone.org/journals/ameghiniana/volume-55/issue-4/AMGH.12.03.2018.3152/Emergence-of-Grassy-Habitats-during-the-GreenhouseIcehouse-Systems-Transition-in/10.5710/AMGH.12.03.2018.3152.short,https://scholar.google.com/scholar?cites=17409736936454604029&as_sdt=2005&sciodt=2007&hl=en,14,9/15/21 12:16,,10.5710/AMGH.12.03.2018.3152,,,,,,,9,3,2,5,3,"… fragmentary vertebrate remains from the Casamayoran South American Land Mammal Age (SALMA), fossil dung- beetle brood balls (Coprinisphaera) and … 6.7), phytoliths. Comparison of phytolith assemblages from LF shows that the groups can be differentiated mainly by the …",https://www.researchgate.net/profile/Maria-Raigemborn/publication/328047977_Emergence_of_Grassy_Habitats_during_the_Greenhouse-Icehouse_Systems_Transition_in_the_Middle_Eocene_of_Southern_South_America/links/5bb4bebc92851ca9ed37717d/Emergence-of-Grassy-Habitats-during-the-Greenhouse-Icehouse-Systems-Transition-in-the-Middle-Eocene-of-Southern-South-America.pdf,https://scholar.google.com/scholar?q=related:_cRfwoDPm_EJ:scholar.google.com/&scioq=phytoliths+south+america&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
5,"LF Cantil, ES Bellosi, MV Sánchez, MG González…",The earliest burst of necrophagous dung beetles in South America revealed by the Cenozoic record of Coprinisphaera,2020,…,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/let.12368,https://scholar.google.com/scholar?cites=15274706088001085686&as_sdt=2005&sciodt=2007&hl=en,16,9/15/21 12:16,,10.1111/let.12368,,,,,,,5,5,1,5,1,… balls indicate that the comparison between the relative abundance of phytoliths in the … The record of Coprinisphaera in South American Cenozoic palaeosols has provided data on the diet of herbivore mammals and the associated vegetation by phytolith analysis (Sánchez et …,,https://scholar.google.com/scholar?q=related:9iDNF0Ko-tMJ:scholar.google.com/&scioq=phytoliths+south+america&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
8,"H Plumpton, B Whitney, F Mayle",Ecosystem turnover in palaeoecological records: The sensitivity of pollen and phytolith proxies to detecting vegetation change in southwestern Amazonia,2019,The Holocene,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/0959683619862021,https://scholar.google.com/scholar?cites=2978929236377522069&as_sdt=2005&sciodt=2007&hl=en,20,9/15/21 12:16,,10.1177/0959683619862021,,,,,,,8,4,3,3,2,Identification of ecosystem turnover in the palaeo-vegetation record is important for understanding the resilience of ecosystems to past environmental change. There is uncertainty over the ability ...,http://centaur.reading.ac.uk/83798/1/Plumpton_etal_Holocene_accepted_May-2019.pdf,https://scholar.google.com/scholar?q=related:lc9OgVtIVykJ:scholar.google.com/&scioq=phytoliths+south+america&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
8,"EC da Silva Neto, MR Calegari, MG Pereira…","Phytoliths as indicators of pedogenesis and paleoenvironmental changes in Spodosols of the state of Rio de Janeiro, Brazil",2018,Science of the Total …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0048969718314918,https://scholar.google.com/scholar?cites=14074484076690007534&as_sdt=2005&sciodt=2007&hl=en,21,9/15/21 12:16,,10.1016/j.scitotenv.2018.04.313,,,,,,,8,"2,67",2,4,3,"… Phytolith assemblage analysis can be used to identify past Poaceae subfamilies associations and the density of tree cover (by relative proportion of the dicotyledon phytoliths), as shown by numerous studies carried out in South America (Piperno and Becker, 1996; Alexandre et …",https://www.researchgate.net/profile/Deyvid-Maranhao/publication/325010119_Phytoliths_as_indicators_of_pedogenesis_and_paleoenvironmental_changes_in_Spodosols_of_the_state_of_Rio_de_Janeiro_Brazil/links/5d52c231458515304071c73e/Phytoliths-as-indicators-of-pedogenesis-and-paleoenvironmental-changes-in-Spodosols-of-the-state-of-Rio-de-Janeiro-Brazil.pdf,https://scholar.google.com/scholar?q=related:7uX_q7KcUsMJ:scholar.google.com/&scioq=phytoliths+south+america&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
2,"HJ Plumpton, FM Mayle, BS Whitney",Paleoecological potential of phytoliths from lake sediment records from the tropical lowlands of Bolivia,2020,Review of Palaeobotany and …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0034666718302641,https://scholar.google.com/scholar?cites=13973764825116217681&as_sdt=2005&sciodt=2007&hl=en,22,9/15/21 12:16,,10.1016/j.revpalbo.2019.104113,,,,,,,2,2,1,3,1,"… Comparison between these phytolith and pollen assemblages provides a useful reference point for paleoecologists, drawing out potential areas where phytoliths from lake sediments can provide additional, useful information … Inset map of South America …",http://centaur.reading.ac.uk/87043/1/Plumpton%20etal%20Rev%20Pal%20Pal%20Oct%202019%20-%20accepted.pdf,https://scholar.google.com/scholar?q=related:UZHmfxLJ7MEJ:scholar.google.com/&scioq=phytoliths+south+america&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
