Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
10,"G Delplace, E Schreck, OS Pokrovsky, C Zouiten…",Accumulation of heavy metals in phytoliths from reeds growing on mining environments in Southern Europe,2020,Science of the Total …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0048969719355901,https://scholar.google.com/scholar?cites=921850975947344577&as_sdt=2005&sciodt=2007&hl=en,1,9/15/21 11:30,,10.1016/j.scitotenv.2019.135595,,,,,,,10,10,2,5,1,"Abstract In Southern Europe, soil contamination by heavy metals (HM) due to mining and industrial activities is a long-known problem. Yet, despite soils being widely contaminated through decades, some plants are still able to grow. Some of these plants, like giant reed …",https://www.sciencedirect.com/science/article/am/pii/S0048969719355901,https://scholar.google.com/scholar?q=related:wUowFZQSywwJ:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
5,"C Delhon, D Binder, P Verdin, A Mazuy","Phytoliths as a seasonality indicator? The example of the Neolithic site of Pendimoun, south-eastern France",2020,Vegetation History and …,Springer,https://link.springer.com/article/10.1007/s00334-019-00739-0,https://scholar.google.com/scholar?cites=18392582329497172634&as_sdt=2005&sciodt=2007&hl=en,11,9/15/21 11:30,,10.1007/s00334-019-00739-0,,,,,,,5,5,1,4,1,"… A silica skeleton made of articulated Blocky phytoliths, likely silicified bulliform cells, was observed … Nearly all of the species of wild grasses from temperate Europe are Pooideae, as are the first cereals domesticated in the Middle East and then introduced into Europe (Triticum …",,https://scholar.google.com/scholar?q=related:mjrOOy6UP_8J:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
23,"G Merceron, A Novello, RS Scott",Paleoenvironments inferred from phytoliths and dental microwear texture analyses of meso-herbivores,2016,Geobios,Elsevier,https://www.sciencedirect.com/science/article/pii/S001669951600005X,https://scholar.google.com/scholar?cites=15940107161642051102&as_sdt=2005&sciodt=2007&hl=en,13,9/15/21 11:30,,10.1016/j.geobios.2016.01.004,,,,,,,23,"4,6",8,3,5,"… of Africa by Western scientists during the 19th century on the one hand, and excavations of fossil faunas in Europe on the … Additionally, analysis of siliceous phytoliths found in situ in the sediments where fossil assemblages were unearthed strongly supports the existence of a C …",https://www.researchgate.net/profile/Robert-Scott-20/publication/292187222_Paleoenvironments_Inferred_from_Phytoliths_and_Dental_Microwear_Texture_Analyses_of_Meso-Herbivores/links/60df419792851ca944a2e598/Paleoenvironments-Inferred-from-Phytoliths-and-Dental-Microwear-Texture-Analyses-of-Meso-Herbivores.pdf,https://scholar.google.com/scholar?q=related:HqZVWwKjNt0J:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
8,"A Golyeva, N Svirida",Quantitative distribution of phytoliths as reliable diagnostical criteria of ancient arable lands,2017,Quaternary International,Elsevier,https://www.sciencedirect.com/science/article/pii/S1040618215014573,https://scholar.google.com/scholar?cites=9777947013912275716&as_sdt=2005&sciodt=2007&hl=en,16,9/15/21 11:30,,10.1016/j.quaint.2015.12.062,,,,,,,8,2,4,2,4,… Quantitative distribution of phytoliths as reliable diagnostical criteria of ancient arable lands … We used phytolith analysis to investigate if a typical arable distribution of phytoliths has been preserved in the soil after an 800 year uncultivated period …,https://www.researchgate.net/profile/A-Golyeva/publication/295242429_Quantitative_distribution_of_phytoliths_as_reliable_diagnostical_criteria_of_ancient_arable_lands/links/5efd8f88299bf18816fa509e/Quantitative-distribution-of-phytoliths-as-reliable-diagnostical-criteria-of-ancient-arable-lands.pdf,https://scholar.google.com/scholar?q=related:BCvV3AA_socJ:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
8,"Z Lisztes-Szabó, M Braun, A Csík, Á Pető",Phytoliths of six woody species important in the Carpathians: characteristic phytoliths in Norway spruce needles,2019,Vegetation History and …,Springer,https://link.springer.com/article/10.1007/s00334-019-00720-x,https://scholar.google.com/scholar?cites=5286229946478085614&as_sdt=2005&sciodt=2007&hl=en,18,9/15/21 11:30,HTML,10.1007/s00334-019-00720-x,,,,,,,8,4,2,4,2,"… Only a few phytolith studies of mountain species are available in Europe: for the Caucasus (Kiseleva 1992; Blinnikov 1994), for the Alps (Carnelli … One of the measurable characteristics of phytoliths, which may be important to identify a plant taxon, is the chemical element content …",https://link.springer.com/article/10.1007/s00334-019-00720-x,https://scholar.google.com/scholar?q=related:7sXb8CB2XEkJ:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
1,"Z Lisztes-Szabó, AF Filep, A Csík, Á Pető…",pH-dependent silicon release from phytoliths of Norway spruce (Picea abies),2020,Journal of …,Springer,https://link.springer.com/article/10.1007/s10933-019-00103-2,https://scholar.google.com/scholar?cites=9424964041254265524&as_sdt=2005&sciodt=2007&hl=en,21,9/15/21 11:30,HTML,10.1007/s10933-019-00103-2,,,,,,,1,1,0,5,1,… November 2019. pH-dependent silicon release from phytoliths of Norway spruce (Picea abies) … al. 2001) on correlation matrices after logarithmic transformation of the element data. Results. Silicon content and solubility of phytoliths. The …,https://link.springer.com/article/10.1007/s10933-019-00103-2,https://scholar.google.com/scholar?q=related:tGLKI9wyzIIJ:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
1,"Á Pető, Á Kenéz, Z Lisztes-Szabó, G Sramkó…","The first archaeobotanical evidence of Lagenaria siceraria from the territory of Hungary: histology, phytoliths and (a)DNA",2017,Vegetation history and …,Springer,https://link.springer.com/content/pdf/10.1007/s00334-016-0566-y.pdf,https://scholar.google.com/scholar?cites=13752165173358710026&as_sdt=2005&sciodt=2007&hl=en,22,9/15/21 11:30,,10.1007/s00334-016-0566-y,,,,,,,1,"0,25",0,5,4,"ORIGINAL ARTICLE The first archaeobotanical evidence of Lagenaria siceraria from the territory of Hungary: histology, phytoliths and (a)DNA … This fortunate recovery accounts for the first evidence of bottle gourd in the archaeobotanical record of Hungary and Eastern Europe …",,https://scholar.google.com/scholar?q=related:Ck2L8lyB2b4J:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
0,"J Dominique, A ulâ Haq, L Schwob",Effect of phytoliths for mitigating water stress in durum wheat,2017,new phytologist,agris.fao.org,https://agris.fao.org/agris-search/search.do?recordID=US201700206702,,23,9/15/21 11:30,,10.1111/nph.14554,,,,,,,0,0,0,3,4,"… Extent : 229-239. Publisher : John Wiley & Sons, Ltd. All titles : "" Effect of phytoliths for mitigating water stress in durum wheat "" … Back. Written Paper. Effect of phytoliths for mitigating water stress in durum wheat [2017]. Jean Dominique Meunier Doris Barboni et al. Access the full text …",,
0,"M Danu, C Delhon, O Weller",Could the grasses have played a role in the earliest salt exploitation? Phytoliths analysis of prehistoric salt spring from Hălăbutoaia-Ţolici (Romania),2020,Archaeological and Anthropological …,Springer,https://link.springer.com/article/10.1007/s12520-020-01228-6,,25,9/15/21 11:30,HTML,10.1007/s12520-020-01228-6,,,,,,,0,0,0,3,1,"… Moreover, contrarily to other prehistoric salt springs in Europe (such as those from Germany or France), those from Eastern Romania have been … for the heating of the saltwater and the management of vegetal resources, we carried out a detailed study of phytoliths from the levels …",https://link.springer.com/article/10.1007/s12520-020-01228-6,https://scholar.google.com/scholar?q=related:7frySEeifFgJ:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
5,"T Juhola, AG Henry, T Kirkinen, J Laakkonen…","Phytoliths, parasites, fibers, and feathers from dental calculus and sediment from Iron Age Luistari cemetery, Finland",2019,Quaternary Science …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0277379119306328,https://scholar.google.com/scholar?cites=9862314129275487881&as_sdt=2005&sciodt=2007&hl=en,38,9/15/21 11:30,HTML,10.1016/j.quascirev.2019.105888,,,,,,,5,"2,5",1,5,2,"… Quaternary Science Reviews. Volume 222, 15 October 2019, 105888. Quaternary Science Reviews. Phytoliths, parasites, fibers, and feathers from dental calculus and sediment from Iron Age Luistari cemetery, Finland … We recovered phytoliths, parasites, fibers and feathers …",https://www.sciencedirect.com/science/article/pii/S0277379119306328,https://scholar.google.com/scholar?q=related:iQbIonL63YgJ:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
2,"R Vigliaturo, D Kehrli, P Garra, A Dieterlen…",Opaline phytoliths in Miscanthus sinensis and its cyclone ash from a biomass-combustion facility,2019,Industrial crops and …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0926669019305503,https://scholar.google.com/scholar?cites=15770119346624845409&as_sdt=2005&sciodt=2007&hl=en,52,9/15/21 11:30,,10.1016/j.indcrop.2019.111539,,,,,,,2,1,0,5,2,"… Since 1992, Miscanthus has been widely studied and is grown in Europe as energy crop for the generation of heat and electricity (Hodgson et al … The deposition of Si into epidermal cells of grass species, for example as phytoliths, is an important mechanism that plants use as a …",https://www.sciencedirect.com/science/article/am/pii/S0926669019305503,https://scholar.google.com/scholar?q=related:YdYW-f232toJ:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
2,"A Burguet-Coca, A Polo-Díaz…","Pen management and livestock activities based on phytoliths, dung spherulites, and minerals from Cova Gran de Santa Linya (Southeastern pre-Pyrenees)",2020,Archaeological and …,Springer,https://link.springer.com/article/10.1007/s12520-020-01101-6,https://scholar.google.com/scholar?cites=5111675181782050300&as_sdt=2005&sciodt=2007&hl=en,55,9/15/21 11:30,,10.1007/s12520-020-01101-6,,,,,,,2,2,1,3,1,"… Pen management and livestock activities based on phytoliths, dung spherulites, and minerals from Cova Gran de Santa Linya (Southeastern pre-Pyrenees) … Phytoliths, spherulites, and FTIR analyses are the perfect triad to deal with sequences of dung accumulation and burning …",,https://scholar.google.com/scholar?q=related:_KVMuX5R8EYJ:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020
