Timestamp,Data-collectors-name,Journal-name,Full-Reference-APA,Year (first published online),Period/Date (archaeology and palaeoecology or modern for other studies),Type-of-study,Geographic-location (use https://www.geonames.org/ for country name),oa_status,Journal-type,What-article-repository,Is it available in sign up repository?,Processing-method-communication,Counting-method-is-replicable,Instruments-used-described,Nomenclature-used,Have they used it fully?,Data-location,What-data-repository,Data-type ,Data-format,Data-availability-statement,Data-license,Pictures or photos included for identifications,Statistical-software-used,Other-comments,,,,,,
10/11/2021 13:21:20,Javier Ruiz-Pérez,Journal of Archaeological Science Reports,"Aguilar, V. L., Heider, G., Curtoni, R., Borgo, M., Chiesa, J. O., & Ramos, G. (2018). Late Holocene plant use in the Sierras Pampeanas of Argentina: Evidence from phytoliths and starch grains. Journal of Archaeological Science: Reports, 21, 413-421",2018,Late Holocene,Archaeological,Argentina,closed,Hybrid,None-not-oa,,Summary of method,Yes,Yes,None specified/not clear,Not used,Data in supplementary file,None,Raw counts,.xslx,All data included,Data not in repository,Only significant ones,None,,,,,,,
10/11/2021 13:51:02,Javier Ruiz-Pérez,"Palaeogeography, Palaeoclimatology, Palaeoecology","Astudillo, F. J. (2018). Soil phytoliths as indicators of initial human impact on San Cristóbal Island, Galápagos. Palaeogeography, palaeoclimatology, palaeoecology, 490, 522-532",2017,AD 1860–1920,Archaeological,Ecuador,closed,Hybrid,None-not-oa,,Full protocol in text/supplementary files,No,Yes,ICPN 1.0,No,Data in supplementary file,None,Summary data - plant groupings,.doc,All data included,Data not in repository,Only significant ones,None,,,,,,,
10/11/2021 14:04:36,Javier Ruiz-Pérez,ACI Avances en Ciencias e Ingenierías,"Astudillo, F. J. (2019). Illustrated catalogue of phytoliths from modern plants of the Galápagos Islands: Economic species of San Cristóbal Island. ACI Avances en Ciencias e Ingenierías, 11(3)",2020,Modern,Methodological - modern reference,Ecuador,gold,Open,None-gold,,Full protocol in text/supplementary files,Not applicable,Yes,ICPN 1.0,No,No data (includes graphs),None,No data provided,No data table,None,Data not in repository,All,None,"Reference collection paper. Counting data is not provided (probably not carried out), just morphotypes names and pictures are given for each species. Silica production (AIF) is provided in a table",,,,,,
10/16/2021 10:03:08,Céline Kerfant,Vegetation History and Archaeobotany,"Astudillo, F. J. (2018). Environmental and historical archaeology of the Galápagos islands: archaeobotany of Hacienda El Progreso, 1870–1920. Vegetation History and Archaeobotany, 27(5), 737-751.",2018,Modern ,Archaeological,Ecuador,closed,Hybrid,None-not-oa,,Full protocol in text/supplementary files,Yes,Yes,ICPN 1.0,Yes,Data in supplementary file,None,Raw counts + processing weights,.pdf,None,Data not in repository,Only significant ones,C2,Article available on request on Academia,,,,,,
10/16/2021 13:21:34,Céline Kerfant,Quaternary International,"del Pilar Babot, M., Musaubach, M. G., & Plos, A. (2017). An archaeobotanical perspective in the study of inflorescence phytoliths of wild grasses from arid and semi-arid environments of Argentina. Quaternary International, 434, 129-141.",2016,Modern,Methodological - modern reference,Argentina,closed,Hybrid,None-not-oa,,Full protocol in text/supplementary files,Yes,Yes,ICPN 1.0,Yes,Data in supplementary file,None,Relative presence/percentages,Table in the text of the article,None,Data not in repository,All,PAST,Table of percentage and weights (Initial and final weights),,,,,,
10/17/2021 7:28:51,Céline Kerfant,Journal of South American Earth Sciences,"de Paula Barros, L. F., Coe, H. H. G., Seixas, A. P., Magalhães Jr, A. P., & Macario, K. C. D. (2016). Paleobiogeoclimatic scenarios of the Late Quaternary inferred from fluvial deposits of the Quadrilátero Ferrífero (Southeastern Brazil). Journal of South American Earth Sciences, 67, 71-88.",2016,Late Quaternary,Palaeoecology,Brazil,closed,Hybrid,None-not-oa,,Summary of method,Yes,Yes,ICPN 1.0,Yes,Data in text of article,None,Relative presence/percentages,Table in the text of the article,None,Data not in repository,Only significant ones,None,,,,,,,
10/27/2021 12:13:12,Javier Ruiz-Pérez,Review of Palaeobotany and Palynology,"Zucol, A. F., Patterer, N. I., Moya, E., & Pepi, M. G. F. (2019). Phytolith analysis of the main species of Distichlis sp.(Chloridoideae: Poaceae) distributed in South America. Review of Palaeobotany and Palynology, 269, 42-54",2019,Modern,Methodological - modern reference,Argentina,closed,Hybrid,None-not-oa,,Summary of method,Yes,Yes,None specified/not clear,Not used,Data in supplementary file,None,Relative presence/percentages,.xslx,All data included,Data not in repository,All,PAST,The extraction section contains a summary in the text and a reference to a specific protocol (Laboriau 1983). Nomenclature is based on different publications. Morphometrics are reported in this paper too (it is not only a modern reference paper).,,,,,,
10/27/2021 13:18:31,Javier Ruiz-Pérez,Ameghiniana,"Zucol, A. F., Krause, J. M., Brea, M., Raigemborn, M. S., & Matheos, S. D. (2018). Emergence of grassy habitats during the greenhouse–icehouse systems transition in the Middle Eocene of southern South America. Ameghiniana, 55(4), 451-482",2018,Middle Eocene,Palaeoecology,Argentina,closed,Hybrid,None-not-oa,,Summary of method,Yes,Yes,None specified/not clear,Not used,Data in supplementary file,None,Relative presence/percentages,.xslx,All data included,Data not in repository,All,None,Nomenclature based on a collection of publications. Statistical software not specified.,,,,,,
10/27/2021 14:24:33,Javier Ruiz-Pérez,Quaternary International,"Watling, J., Castro, M. T., Simon, M. F., Rodrigues, F. O., de Medeiros, M. B., De Oliveira, P. E., & Neves, E. G. (2020). Phytoliths from native plants and surface soils from the Upper Madeira river, SW Amazonia, and their potential for paleoecological reconstruction. Quaternary International, 550, 85-110",2020,Modern,Methodological - modern reference,Brazil,closed,Hybrid,None-not-oa,,Summary of method,Yes,Yes,ICPN 2.0,No,Data in text of article,None,Presence/absence,Table in the text of the article,None,Data not in repository,Only significant ones,"C2, PAST","Data as table is only provided for plant material, while soil samples data is only provided as graphs",,,,,,
10/27/2021 14:39:24,Javier Ruiz-Pérez,PLOS One,"Watling, J., Shock, M. P., Mongeló, G. Z., Almeida, F. O., Kater, T., De Oliveira, P. E., & Neves, E. G. (2018). Direct archaeological evidence for Southwestern Amazonia as an early plant domestication and food production centre. Plos one, 13(7), e0199868",2018,Early and middle Holocene,Archaeological,Brazil,gold,Open,None-gold,,Summary of method,Yes,Yes,None specified/not clear,Not used,Data in text of article,None,Summary data - plant groupings,Table in the text of the article,None,Data not in repository,Only significant ones,None,"Data as table is only provided for residues, while soil samples data is only provided as graphs",,,,,,
