Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
10,"G Delplace, E Schreck, OS Pokrovsky, C Zouiten…","Accumulation of heavy metals in phytoliths from reeds growing on mining environments in Southern Europe",2020,"Science of the Total …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0048969719355901","https://scholar.google.com/scholar?cites=921850975947344577&as_sdt=2005&sciodt=2007&hl=en",1,"2021-09-15 11:30:54","","","","",,,,,10,10.00,2,5,1,"Abstract In Southern Europe, soil contamination by heavy metals (HM) due to mining and industrial activities is a long-known problem. Yet, despite soils being widely contaminated through decades, some plants are still able to grow. Some of these plants, like giant reed …","https://www.sciencedirect.com/science/article/am/pii/S0048969719355901","https://scholar.google.com/scholar?q=related:wUowFZQSywwJ:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020"
95,"T Ball, K Chandler-Ezell, R Dickau, N Duncan…","Phytoliths as a tool for investigations of agricultural origins and dispersals around the world",2016,"Journal of …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0305440315002472","https://scholar.google.com/scholar?cites=1194977294166189390&as_sdt=2005&sciodt=2007&hl=en",2,"2021-09-15 11:30:54","","","","",,,,,95,19.00,19,5,5,"","https://repository.si.edu/bitstream/handle/10088/26912/2015%20Piperno%20JArchSci.pdf","https://scholar.google.com/scholar?q=related:TuVujYRplRAJ:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020"
19,"WA Out, M Madella","Morphometric distinction between bilobate phytoliths from Panicum miliaceum and Setaria italica leaves",2016,"Archaeological and Anthropological Sciences","Springer","https://link.springer.com/article/10.1007/s12520-015-0235-6","https://scholar.google.com/scholar?cites=16455968226268099443&as_sdt=2005&sciodt=2007&hl=en",3,"2021-09-15 11:30:54","","10.1007/s12520-015-0235-6","","",,,,,19,3.80,10,2,5,"… in regions of Asia and Europe since prehistory and regularly occur at archaeological sites in Eurasia. Leaves of the investigated taxa were systematically sampled to explore the variation of short cells and to collect 27 morphometric variables of bilobate phytoliths with newly …","https://www.researchgate.net/profile/Welmoed_A_Out/publication/273942667_Morphometric_distinction_between_bilobate_phytoliths_from_Panicum_miliaceum_and_Setaria_italica_leaves/links/5b5f3b09aca272a2d67556ac/Morphometric-distinction-between-bilobate-phytoliths-from-Panicum-miliaceum-and-Setaria-italica-leaves.pdf","https://scholar.google.com/scholar?q=related:czPTEepXX-QJ:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020"
47,"CAE Strömberg, RE Dunn, C Crifò, EB Harris","Phytoliths in paleoecology: analytical considerations, current use, and future directions",2018,"Methods in Paleoecology","Springer","https://link.springer.com/chapter/10.1007/978-3-319-94265-0_12","https://scholar.google.com/scholar?cites=15258392767609966964&as_sdt=2005&sciodt=2007&hl=en",4,"2021-09-15 11:30:54","","10.1007/978-3-319-94265-0_12","","",,,,,47,15.67,12,4,3,"… Methods in Paleoecology pp 235-287 | Cite as. Phytoliths in Paleoecology: Analytical Considerations, Current Use, and Future Directions … In some cases it is helpful to use the name from the original publication in addition to the ICPN 1.0 name. What are Phytoliths …","https://www.researchgate.net/profile/Caroline-Stromberg/publication/328889825_Phytoliths_in_Paleoecology/links/5be9b673299bf1124fce11b9/Phytoliths-in-Paleoecology.pdf","https://scholar.google.com/scholar?q=related:dBHINGGzwNMJ:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020"
16,"M Silantyeva, M Solomonova, N Speranskaja…","Phytoliths of temperate forest-steppe: A case study from the Altay, Russia",2018,"Review of Palaeobotany …","Elsevier","https://www.sciencedirect.com/science/article/pii/S003466671730091X","https://scholar.google.com/scholar?cites=961816851456945122&as_sdt=2005&sciodt=2007&hl=en",5,"2021-09-15 11:30:54","","","","",,,,,16,5.33,4,4,3,"… While phytoliths in modern soils in Europe (Novorossova, 1951, Smithson, 1958, Golyeva et al., 1987, Kamanina, 1992, Carnelli et al., 2001, Delhon et al., 2003), China (Lu et al., 2006, Song et al., 2012, Traoré et al., 2015), tropical Africa (Barboni et al., 1999, Brémond et al …","http://case.asu.ru/files/form_312-30642.pdf","https://scholar.google.com/scholar?q=related:4msTmlQPWQ0J:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020"
28,"XH An","Morphological characteristics of phytoliths from representative conifers in China",2016,"Palaeoworld","Elsevier","https://www.sciencedirect.com/science/article/pii/S1871174X16000044","https://scholar.google.com/scholar?cites=12964117730669655751&as_sdt=2005&sciodt=2007&hl=en",6,"2021-09-15 11:30:54","","","","",,,,,28,5.60,28,1,5,"… Kondo et al. (2003) made a detailed description of the production and morphology of phytoliths, using scanning electron microscopes. In Europe, Carnelli et al. (2004) described the phytoliths from six alpine conifer species (found at altitude 2000 m asl) …","https://www.researchgate.net/profile/Xiaohong-An/publication/290624077_Morphological_characteristics_of_phytoliths_from_representative_conifers_in_China/links/5a9d01f4a6fdcc3cbacd9c7f/Morphological-characteristics-of-phytoliths-from-representative-conifers-in-China.pdf","https://scholar.google.com/scholar?q=related:x3boomPM6bMJ:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020"
20,"Y Wu, HL You, XQ Li","Dinosaur-associated Poaceae epidermis and phytoliths from the Early Cretaceous of China",2018,"National Science Review","academic.oup.com","https://academic.oup.com/nsr/article-abstract/5/5/721/4769666","https://scholar.google.com/scholar?cites=9460301118117218364&as_sdt=2005&sciodt=2007&hl=en",7,"2021-09-15 11:30:54","","","","",,,,,20,6.67,7,3,3,"… Dinosaur-associated Poaceae epidermis and phytoliths from the Early Cretaceous of China … RESULTS. Silicified epidermal pieces and phytoliths analysis. Two pieces of silicified epidermis were extracted from the special structure …","https://academic.oup.com/nsr/article/5/5/721/4769666","https://scholar.google.com/scholar?q=related:PIibfb69SYMJ:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020"
9,"PW Lucas, R Omar, K Al-Fadhalah…","Tooth wear: A response to"" Scratching the surface: A critique of Lucas et al.(2013)'s conclusion that phytoliths do not abrade enamel""[J. Hum. Evol. 74 (2014) 130-133] …",2016,"Journal of human …","europepmc.org","https://europepmc.org/article/med/27692570","https://scholar.google.com/scholar?cites=14829414634730918218&as_sdt=2005&sciodt=2007&hl=en",8,"2021-09-15 11:30:54","","","","",,,,,9,1.80,2,4,5,"1 Coronavirus: Find the latest articles and preprints. Europe PMC requires Javascript to function effectively … Tooth wear: A response to ""Scratching the surface: A critique of Lucas et al. (2013)'s conclusion that phytoliths do not abrade enamel"" [J. Hum. Evol. 74 (2014) 130-133] …","","https://scholar.google.com/scholar?q=related:SpEdagqqzM0J:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020"
0,"D Zurro Hernández, MJ Hodson","Phytoliths in European Archaeological Research",2018,"","digital.csic.es","https://digital.csic.es/handle/10261/168003","",9,"2021-09-15 11:30:54","","","","",,,,,0,0.00,0,2,3,"… Europe was somewhat slow to take this up, but now phytoliths feature in many archaeological investigations. We will first assess paleoenvironmental studies and particularly those concerned with the development of agriculture …","",""
14,"DM Pearsall","Case studies in paleoethnobotany: understanding ancient lifeways through the study of phytoliths, starch, macroremains, and pollen",2018,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=yjhjDwAAQBAJ&oi=fnd&pg=PT9&dq=phytoliths+europe&ots=Zaa7-EOBH-&sig=IpqT6aIugsEeJtui1ufkHdIDEz4","https://scholar.google.com/scholar?cites=3660104019104879751&as_sdt=2005&sciodt=2007&hl=en",10,"2021-09-15 11:30:54","BOOK","","","",,,,,14,4.67,14,1,3,"… Study of macroremains continued in the late nineteenth and first half of the twentieth centuries in Europe, the Mediterranean region, and coastal Peru. Pollen and phytoliths also began to be studied systematically at that time …","","https://scholar.google.com/scholar?q=related:h9S5mzZNyzIJ:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020"
5,"C Delhon, D Binder, P Verdin, A Mazuy","Phytoliths as a seasonality indicator? The example of the Neolithic site of Pendimoun, south-eastern France",2020,"Vegetation History and …","Springer","https://link.springer.com/article/10.1007/s00334-019-00739-0","https://scholar.google.com/scholar?cites=18392582329497172634&as_sdt=2005&sciodt=2007&hl=en",11,"2021-09-15 11:30:54","","10.1007/s00334-019-00739-0","","",,,,,5,5.00,1,4,1,"… A silica skeleton made of articulated Blocky phytoliths, likely silicified bulliform cells, was observed … Nearly all of the species of wild grasses from temperate Europe are Pooideae, as are the first cereals domesticated in the Middle East and then introduced into Europe (Triticum …","","https://scholar.google.com/scholar?q=related:mjrOOy6UP_8J:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020"
23,"I Rashid, SH Mir, D Zurro, RA Dar, ZA Reshi","Phytoliths as proxies of the past",2019,"Earth-Science Reviews","Elsevier","https://www.sciencedirect.com/science/article/pii/S0012825219301084","https://scholar.google.com/scholar?cites=12986628818436055706&as_sdt=2005&sciodt=2007&hl=en",12,"2021-09-15 11:30:54","","","","",,,,,23,11.50,5,5,2,"","https://www.academia.edu/download/59238776/10.1016_j.earscirev.2019.05.00520190513-27418-wzeuc8.pdf","https://scholar.google.com/scholar?q=related:mmK7sBrGObQJ:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020"
23,"G Merceron, A Novello, RS Scott","Paleoenvironments inferred from phytoliths and dental microwear texture analyses of meso-herbivores",2016,"Geobios","Elsevier","https://www.sciencedirect.com/science/article/pii/S001669951600005X","https://scholar.google.com/scholar?cites=15940107161642051102&as_sdt=2005&sciodt=2007&hl=en",13,"2021-09-15 11:30:54","","","","",,,,,23,4.60,8,3,5,"… of Africa by Western scientists during the 19th century on the one hand, and excavations of fossil faunas in Europe on the … Additionally, analysis of siliceous phytoliths found in situ in the sediments where fossil assemblages were unearthed strongly supports the existence of a C …","https://www.researchgate.net/profile/Robert-Scott-20/publication/292187222_Paleoenvironments_Inferred_from_Phytoliths_and_Dental_Microwear_Texture_Analyses_of_Meso-Herbivores/links/60df419792851ca944a2e598/Paleoenvironments-Inferred-from-Phytoliths-and-Dental-Microwear-Texture-Analyses-of-Meso-Herbivores.pdf","https://scholar.google.com/scholar?q=related:HqZVWwKjNt0J:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020"
9,"M Naskar, S Bera","Taxonomic assessment of opal phytoliths from grasses of deltaic West Bengal, India",2018,"Nordic Journal of Botany","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/njb.01695","https://scholar.google.com/scholar?cites=11216753944133020464&as_sdt=2005&sciodt=2007&hl=en",14,"2021-09-15 11:30:54","","10.1111/njb.01695","","",,,,,9,3.00,5,2,3,"… Taxonomic assessment of opal phytoliths from grasses of deltaic West Bengal, India. Madhab Naskar … Abstract. In the present study, taxonomic potential of opal phytoliths was examined in grasses from lower Gangetic delta, West Bengal, India …","","https://scholar.google.com/scholar?q=related:MKsChUjqqZsJ:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020"
10,"K Neumann, A Chevalier, L Vrydaghs","Phytoliths in archaeology: recent advances",2017,"","Springer","https://link.springer.com/article/10.1007/s00334-016-0598-3","https://scholar.google.com/scholar?cites=16970320583421699470&as_sdt=2005&sciodt=2007&hl=en",15,"2021-09-15 11:30:54","HTML","10.1007/s00334-016-0598-3","","",,,,,10,2.50,3,3,4,"… of macroremains of potential weedy taxa for reconstructing farming practices is well established in the Near East and Europe and especially important as evidence for pre-domestication cultivation (Kreuz et al. 2005; Willcox 2012). Adopting this approach for phytoliths opens up …","https://link.springer.com/article/10.1007/s00334-016-0598-3","https://scholar.google.com/scholar?q=related:jqVZc6iwgusJ:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020"
8,"A Golyeva, N Svirida","Quantitative distribution of phytoliths as reliable diagnostical criteria of ancient arable lands",2017,"Quaternary International","Elsevier","https://www.sciencedirect.com/science/article/pii/S1040618215014573","https://scholar.google.com/scholar?cites=9777947013912275716&as_sdt=2005&sciodt=2007&hl=en",16,"2021-09-15 11:30:54","","","","",,,,,8,2.00,4,2,4,"… Quantitative distribution of phytoliths as reliable diagnostical criteria of ancient arable lands … We used phytolith analysis to investigate if a typical arable distribution of phytoliths has been preserved in the soil after an 800 year uncultivated period …","https://www.researchgate.net/profile/A-Golyeva/publication/295242429_Quantitative_distribution_of_phytoliths_as_reliable_diagnostical_criteria_of_ancient_arable_lands/links/5efd8f88299bf18816fa509e/Quantitative-distribution-of-phytoliths-as-reliable-diagnostical-criteria-of-ancient-arable-lands.pdf","https://scholar.google.com/scholar?q=related:BCvV3AA_socJ:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020"
0,"CS Gadekar","Phytoliths from Stone Tools Understanding socio ecological situation of North Western South Asia in the third millennium",2020,"","digital.csic.es","https://digital.csic.es/handle/10261/223219","",17,"2021-09-15 11:30:54","","","","",,,,,0,0.00,0,1,1,"… silicify (specially cereals) and the mineralized cells are commonly referred to as opal phytoliths. These biomineralizations adhere to the edges of stone tools when the tools … Palaeolithic in Europe. In the Indian subcontinent, however, the scenario is a little different. Even though …","https://digital.csic.es/bitstream/10261/223219/1/Gadekar-2020-Phytoliths%20from%20Stone%20Tools....pdf",""
8,"Z Lisztes-Szabó, M Braun, A Csík, Á Pető","Phytoliths of six woody species important in the Carpathians: characteristic phytoliths in Norway spruce needles",2019,"Vegetation History and …","Springer","https://link.springer.com/article/10.1007/s00334-019-00720-x","https://scholar.google.com/scholar?cites=5286229946478085614&as_sdt=2005&sciodt=2007&hl=en",18,"2021-09-15 11:30:54","HTML","10.1007/s00334-019-00720-x","","",,,,,8,4.00,2,4,2,"… Only a few phytolith studies of mountain species are available in Europe: for the Caucasus (Kiseleva 1992; Blinnikov 1994), for the Alps (Carnelli … One of the measurable characteristics of phytoliths, which may be important to identify a plant taxon, is the chemical element content …","https://link.springer.com/article/10.1007/s00334-019-00720-x","https://scholar.google.com/scholar?q=related:7sXb8CB2XEkJ:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020"
21,"L Vrydaghs, Y Devos, Á Pető","Opal phytoliths",2017,"Archaeological soil and sediment …","books.google.com","https://books.google.com/books?hl=en&lr=&id=Nlw6DwAAQBAJ&oi=fnd&pg=PA155&dq=phytoliths+europe&ots=XJ8hHdVsym&sig=FhP-MhkJJmc9EuB_Ljioc-NWzLc","https://scholar.google.com/scholar?cites=6788246068260641497&as_sdt=2005&sciodt=2007&hl=en",19,"2021-09-15 11:30:54","","","","",,,,,21,5.25,7,3,4,"… 13–44. Macphail, RI, Courty, MA & Gebhardt, A.(1990) Soil micromorphological evidence of early agriculture in North‐West Europe … Madella, M.(2003) Investigating agriculture and environment in South Asia: present and future contributions from opal phytoliths …","","https://scholar.google.com/scholar?q=related:2RqeWtWxNF4J:scholar.google.com/&scioq=phytoliths+europe&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2020"
